emb_norm_mean,epoch,step,train_loss
0.058469779789447784,0,2,6.211598873138428
0.06847105920314789,0,5,6.21001672744751
0.08440710604190826,0,8,6.206942558288574
0.10286428034305573,0,11,6.20048189163208
0.12020119279623032,0,14,6.200252056121826
0.1351492702960968,0,17,6.195302963256836
0.15022769570350647,0,20,6.18220853805542
0.16043132543563843,0,23,6.183784008026123
0.17093946039676666,0,26,6.187769412994385
0.1765192300081253,0,29,6.183321952819824
0.18894007802009583,0,32,6.168310642242432
0.19233419001102448,0,35,6.184333324432373
0.19249506294727325,0,38,6.186058521270752
0.19676539301872253,0,41,6.176703453063965
0.19250911474227905,1,44,6.18572998046875
0.19302073121070862,1,47,6.181893348693848
0.1927158236503601,1,50,6.173886775970459
0.1976730078458786,1,53,6.177193641662598
0.20143677294254303,1,56,6.176905632019043
0.19719849526882172,1,59,6.16008186340332
0.20228305459022522,1,62,6.171116352081299
0.2057679295539856,1,65,6.179287433624268
0.20285943150520325,1,68,6.181918144226074
0.20425757765769958,1,71,6.16471529006958
0.2065219283103943,1,74,6.178373336791992
0.20840702950954437,1,77,6.163249969482422
0.21248756349086761,1,80,6.165537357330322
0.2132721096277237,1,83,6.182097911834717
0.2137221097946167,2,86,6.156924724578857
0.2228025496006012,2,89,6.178956031799316
0.22212083637714386,2,92,6.167123317718506
0.2174811065196991,2,95,6.159084320068359
0.21807877719402313,2,98,6.173744201660156
0.22332321107387543,2,101,6.164349555969238
0.22075620293617249,2,104,6.153689384460449
0.21823002398014069,2,107,6.163949489593506
0.22191311419010162,2,110,6.183475017547607
0.22763553261756897,2,113,6.156422138214111
0.2293453812599182,2,116,6.17195463180542
0.23014970123767853,2,119,6.146886825561523
0.23096415400505066,2,122,6.161623477935791
0.22505693137645721,2,125,6.163715839385986
0.2261137068271637,2,128,4.804373741149902
0.22382967174053192,3,131,6.1504364013671875
0.22640061378479004,3,134,6.156747341156006
0.224263533949852,3,137,6.167520523071289
0.2200423926115036,3,140,6.153713703155518
0.22576753795146942,3,143,6.1574015617370605
0.22460070252418518,3,146,6.1487717628479
0.2260853797197342,3,149,6.1625189781188965
0.22647248208522797,3,152,6.146679878234863
0.22406992316246033,3,155,6.1714768409729
0.2249152958393097,3,158,6.153701305389404
0.22852468490600586,3,161,6.149136543273926
0.23034711182117462,3,164,6.153299331665039
0.2297452986240387,3,167,6.149243354797363
0.23404105007648468,3,170,6.144662380218506
0.24142827093601227,4,173,6.130988597869873
0.23841439187526703,4,176,6.165195941925049
0.2398785501718521,4,179,6.158237457275391
0.2379429042339325,4,182,6.1559858322143555
0.236742302775383,4,185,6.17158842086792
0.2418793886899948,4,188,6.171681880950928
0.24063050746917725,4,191,6.138993263244629
0.24340493977069855,4,194,6.14945650100708
0.25135505199432373,4,197,6.144281387329102
0.2488994598388672,4,200,6.1651763916015625
0.2527383267879486,4,203,6.14258337020874
0.24081623554229736,4,206,6.146094799041748
0.24621900916099548,4,209,6.142034530639648
0.24795600771903992,4,212,6.140652656555176
0.25071725249290466,5,215,6.161999225616455
0.24440251290798187,5,218,6.168173313140869
0.24167941510677338,5,221,6.150748252868652
0.2465236783027649,5,224,6.135620594024658
